slug,symbol,round_start_ts,source,open_exact,detect_ms,open_ts_ms,close_ts_ms,latency_from_end_ms,side_logged,open_ref,final_price,delta_close_minus_open,winner_by_delta,winner_match_logged,frontend_api_open,frontend_api_close,frontend_api_delta_close_minus_open,frontend_api_winner_by_delta,frontend_api_ts_ms,frontend_api_completed,frontend_api_cached,frontend_log_open,frontend_log_close,frontend_log_delta_close_minus_open,frontend_log_winner_by_delta,frontend_log_ts_ms,frontend_log_completed,frontend_log_cached,precision_source
bnb-updown-5m-1776556500,bnb/usd,1776556500,Chainlink,true,1776556801660,1776556500000,1776556800000,1660,No,630.247000000,630.000302000,-0.246698000,No,true,630.247000000,630.000302004,-0.246697996,No,1776568481905,true,true,630.247000000,,,,1776556606361,false,true,chainlink_result_ready
bnb-updown-5m-1776556800,bnb/usd,1776556800,Chainlink,true,1776557101256,1776556800000,1776557100000,1256,Yes,630.000302000,630.198174000,0.197872000,Yes,true,630.000302004,630.198174240,0.197872237,Yes,1776568482440,true,true,630.000302004,,,,1776556898397,false,true,chainlink_result_ready
bnb-updown-5m-1776557100,bnb/usd,1776557100,Chainlink,true,1776557401043,1776557100000,1776557400000,1043,Yes,630.198174000,630.429735000,0.231561000,Yes,true,630.198174240,630.429735061,0.231560821,Yes,1776568482973,true,true,630.198174240,,,,1776557205141,false,true,chainlink_result_ready
bnb-updown-5m-1776557400,bnb/usd,1776557400,Chainlink,true,1776557701486,1776557400000,1776557700000,1486,No,630.429735000,630.329026000,-0.100709000,No,true,630.429735061,630.329026395,-0.100708666,No,1776568483541,true,true,630.429735061,,,,1776557502891,false,true,chainlink_result_ready
bnb-updown-5m-1776557700,bnb/usd,1776557700,Chainlink,true,1776558001228,1776557700000,1776558000000,1228,No,630.329026000,629.989512000,-0.339514000,No,true,630.329026395,629.989511986,-0.339514410,No,1776568484074,true,true,630.329026395,,,,1776557800459,false,true,chainlink_result_ready
bnb-updown-5m-1776558000,bnb/usd,1776558000,Chainlink,true,1776558301356,1776558000000,1776558300000,1356,No,629.989512000,629.370665000,-0.618847000,No,true,629.989511986,629.370664520,-0.618847466,No,1776568484622,true,true,629.989511986,,,,1776558103365,false,true,chainlink_result_ready
bnb-updown-5m-1776558300,bnb/usd,1776558300,Chainlink,true,1776558601261,1776558300000,1776558600000,1261,No,629.370665000,629.211463000,-0.159202000,No,true,629.370664520,629.211463108,-0.159201412,No,1776568485179,true,true,629.370664520,,,,1776558396081,false,true,chainlink_result_ready
btc-updown-5m-1776556500,btc/usd,1776556500,Chainlink,true,1776556801594,1776556500000,1776556800000,1594,No,75737.406740000,75717.410000000,-19.996740000,No,true,75737.406740000,75717.410000000,-19.996740000,No,1776568485958,true,true,75737.406740000,,,,1776556605892,false,true,chainlink_result_ready
btc-updown-5m-1776556800,btc/usd,1776556800,Chainlink,true,1776557101373,1776556800000,1776557100000,1373,Yes,75717.410000000,75787.450000000,70.040000000,Yes,true,75717.410000000,75787.450000000,70.040000000,Yes,1776568486662,true,true,75717.410000000,,,,1776556899194,false,true,chainlink_result_ready
btc-updown-5m-1776557100,btc/usd,1776557100,Chainlink,true,1776557401053,1776557100000,1776557400000,1053,Yes,75787.450000000,75858.007520000,70.557520000,Yes,true,75787.450000000,75858.007520000,70.557520000,Yes,1776568487367,true,true,75787.450000000,,,,1776557202390,false,true,chainlink_result_ready
btc-updown-5m-1776557400,btc/usd,1776557400,Chainlink,true,1776557701508,1776557400000,1776557700000,1508,No,75858.007520000,75800.780290000,-57.227230000,No,true,75858.007520000,75800.780290000,-57.227230000,No,1776568487924,true,true,75858.007520000,,,,1776557499133,false,true,chainlink_result_ready
btc-updown-5m-1776557700,btc/usd,1776557700,Chainlink,true,1776558001226,1776557700000,1776558000000,1226,No,75800.780290000,75742.000000000,-58.780290000,No,true,75800.780290000,75742.000000000,-58.780290000,No,1776568488495,true,true,75800.780290000,,,,1776557800713,false,true,chainlink_result_ready
btc-updown-5m-1776558000,btc/usd,1776558000,Chainlink,true,1776558301330,1776558000000,1776558300000,1330,No,75742.000000000,75627.830000000,-114.170000000,No,true,75742.000000000,75627.830000000,-114.170000000,No,1776568489046,true,true,75742.000000000,,,,1776558099345,false,true,chainlink_result_ready
btc-updown-5m-1776558300,btc/usd,1776558300,Chainlink,true,1776558601236,1776558300000,1776558600000,1236,Yes,75627.830000000,75642.654730000,14.824730000,Yes,true,75627.830000000,75642.654730000,14.824730000,Yes,1776568491666,true,true,75627.830000000,,,,1776558398557,false,true,chainlink_result_ready
